YearStart,LocationAbbr,stratum_category,stratum_value,year_normalized,LocationAbbr_enc,region_enc,stratum_category_enc,stratum_value_enc,income_enc,education_enc,gender_enc,lag_1,lag_2,rolling_mean_3,trend_1yr,ci_width
2011,AL,Income,"$15,000 - $24,999",0.0,1,3,2,0,1.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.199999999999999
2011,AL,Income,"$25,000 - $34,999",0.0,1,3,2,1,2.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.699999999999996
2011,AL,Income,"$35,000 - $49,999",0.0,1,3,2,2,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.799999999999997
2011,AL,Income,"$50,000 - $74,999",0.0,1,3,2,3,4.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.099999999999998
2011,AL,Income,"$75,000 or greater",0.0,1,3,2,4,5.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.100000000000001
2011,AL,Age (years),18 - 24,0.0,1,3,0,5,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.299999999999999
2011,AL,Race/Ethnicity,2 or more races,0.0,1,3,3,6,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,32.5
2011,AL,Age (years),25 - 34,0.0,1,3,0,7,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.3
2011,AL,Age (years),35 - 44,0.0,1,3,0,8,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.0
2011,AL,Age (years),45 - 54,0.0,1,3,0,9,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.0
2011,AL,Age (years),55 - 64,0.0,1,3,0,10,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,6.100000000000001
2011,AL,Age (years),65 or older,0.0,1,3,0,11,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,4.400000000000002
2011,AL,Race/Ethnicity,American Indian/Alaska Native,0.0,1,3,3,12,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,33.300000000000004
2011,AL,Education,College graduate,0.0,1,3,1,14,3.0,3.0,0.5,31.5,31.2,31.35,0.5999999999999943,5.600000000000001
2011,AL,Income,Data not reported,0.0,1,3,2,15,6.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,6.600000000000001
2011,AL,Sex,Female,0.0,1,3,4,16,3.0,1.0,1.0,31.5,31.2,31.35,0.5999999999999943,3.6000000000000014
2011,AL,Education,High school graduate,0.0,1,3,1,18,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,5.400000000000002
2011,AL,Race/Ethnicity,Hispanic,0.0,1,3,3,19,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,25.6
2011,AL,Income,"Less than $15,000",0.0,1,3,2,20,0.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.399999999999999
2011,AL,Education,Less than high school,0.0,1,3,1,21,3.0,0.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.700000000000003
2011,AL,Sex,Male,0.0,1,3,4,22,3.0,1.0,0.0,31.5,31.2,31.35,0.5999999999999943,4.800000000000004
2011,AL,Race/Ethnicity,Non-Hispanic Black,0.0,1,3,3,23,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,6.399999999999999
2011,AL,Race/Ethnicity,Non-Hispanic White,0.0,1,3,3,24,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,3.6000000000000014
2011,AL,Education,Some college or technical school,0.0,1,3,1,26,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,5.799999999999997
2011,AL,Total,Total,0.0,1,3,5,27,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,3.0
2011,AK,Income,"$15,000 - $24,999",0.0,0,5,2,0,1.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,13.100000000000001
2011,AK,Income,"$25,000 - $34,999",0.0,0,5,2,1,2.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,19.799999999999997
2011,AK,Income,"$35,000 - $49,999",0.0,0,5,2,2,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,13.7
2011,AK,Income,"$50,000 - $74,999",0.0,0,5,2,3,4.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.599999999999998
2011,AK,Income,"$75,000 or greater",0.0,0,5,2,4,5.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.199999999999999
2011,AK,Age (years),18 - 24,0.0,0,5,0,5,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,14.999999999999998
2011,AK,Race/Ethnicity,2 or more races,0.0,0,5,3,6,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,16.299999999999997
2011,AK,Age (years),25 - 34,0.0,0,5,0,7,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,10.599999999999998
2011,AK,Age (years),35 - 44,0.0,0,5,0,8,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,10.5
2011,AK,Age (years),45 - 54,0.0,0,5,0,9,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.3
2011,AK,Age (years),55 - 64,0.0,0,5,0,10,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.899999999999999
2011,AK,Age (years),65 or older,0.0,0,5,0,11,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,10.899999999999999
2011,AK,Race/Ethnicity,American Indian/Alaska Native,0.0,0,5,3,12,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,10.900000000000002
2011,AK,Education,College graduate,0.0,0,5,1,14,3.0,3.0,0.5,31.5,31.2,31.35,0.5999999999999943,6.399999999999999
2011,AK,Income,Data not reported,0.0,0,5,2,15,6.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,11.3
2011,AK,Sex,Female,0.0,0,5,4,16,3.0,1.0,1.0,31.5,31.2,31.35,0.5999999999999943,5.800000000000001
2011,AK,Education,High school graduate,0.0,0,5,1,18,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,8.900000000000002
2011,AK,Race/Ethnicity,Hispanic,0.0,0,5,3,19,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,24.700000000000003
2011,AK,Income,"Less than $15,000",0.0,0,5,2,20,0.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,17.5
2011,AK,Education,Less than high school,0.0,0,5,1,21,3.0,0.0,0.5,31.5,31.2,31.35,0.5999999999999943,16.200000000000003
2011,AK,Sex,Male,0.0,0,5,4,22,3.0,1.0,0.0,31.5,31.2,31.35,0.5999999999999943,6.400000000000002
2011,AK,Race/Ethnicity,Non-Hispanic White,0.0,0,5,3,24,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,4.599999999999998
2011,AK,Race/Ethnicity,Other,0.0,0,5,3,25,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,28.2
2011,AK,Education,Some college or technical school,0.0,0,5,1,26,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.300000000000001
2011,AK,Total,Total,0.0,0,5,5,27,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,4.399999999999999
2011,AZ,Income,"$15,000 - $24,999",0.0,3,5,2,0,1.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,11.7
2011,AZ,Income,"$25,000 - $34,999",0.0,3,5,2,1,2.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,14.399999999999999
2011,AZ,Income,"$35,000 - $49,999",0.0,3,5,2,2,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.400000000000002
2011,AZ,Income,"$50,000 - $74,999",0.0,3,5,2,3,4.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,10.5
2011,AZ,Income,"$75,000 or greater",0.0,3,5,2,4,5.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,7.100000000000001
2011,AZ,Age (years),18 - 24,0.0,3,5,0,5,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,14.0
2011,AZ,Race/Ethnicity,2 or more races,0.0,3,5,3,6,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,26.9
2011,AZ,Age (years),25 - 34,0.0,3,5,0,7,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,13.2
2011,AZ,Age (years),35 - 44,0.0,3,5,0,8,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,10.2
2011,AZ,Age (years),45 - 54,0.0,3,5,0,9,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.600000000000001
2011,AZ,Age (years),55 - 64,0.0,3,5,0,10,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.599999999999998
2011,AZ,Age (years),65 or older,0.0,3,5,0,11,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,5.800000000000001
2011,AZ,Race/Ethnicity,American Indian/Alaska Native,0.0,3,5,3,12,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,19.6
2011,AZ,Race/Ethnicity,Asian,0.0,3,5,3,13,3.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,23.3
2011,AZ,Education,College graduate,0.0,3,5,1,14,3.0,3.0,0.5,31.5,31.2,31.35,0.5999999999999943,5.100000000000001
2011,AZ,Income,Data not reported,0.0,3,5,2,15,6.0,1.0,0.5,31.5,31.2,31.35,0.5999999999999943,9.299999999999999
2011,AZ,Sex,Female,0.0,3,5,4,16,3.0,1.0,1.0,31.5,31.2,31.35,0.5999999999999943,6.100000000000001
