YearStart,LocationAbbr,LocationDesc,stratum_category,stratum_value,Data_Value,high_risk_obesity,early_warning
2011,AK,Alaska,Age (years),18 - 24,19.8,0,0.0
2012,AK,Alaska,Age (years),18 - 24,9.0,0,0.0
2013,AK,Alaska,Age (years),18 - 24,12.6,0,0.0
2014,AK,Alaska,Age (years),18 - 24,14.0,0,0.0
2015,AK,Alaska,Age (years),18 - 24,19.2,0,0.0
2016,AK,Alaska,Age (years),18 - 24,15.1,0,0.0
2017,AK,Alaska,Age (years),18 - 24,23.0,0,0.0
2018,AK,Alaska,Age (years),18 - 24,21.2,0,0.0
2019,AK,Alaska,Age (years),18 - 24,15.4,0,0.0
2020,AK,Alaska,Age (years),18 - 24,21.0,0,0.0
2021,AK,Alaska,Age (years),18 - 24,26.1,0,0.0
2022,AK,Alaska,Age (years),18 - 24,24.5,0,0.0
2023,AK,Alaska,Age (years),18 - 24,22.8,0,0.0
2024,AK,Alaska,Age (years),18 - 24,19.9,0,
2011,AK,Alaska,Age (years),25 - 34,23.5,0,0.0
2012,AK,Alaska,Age (years),25 - 34,20.1,0,0.0
2013,AK,Alaska,Age (years),25 - 34,28.1,0,0.0
2014,AK,Alaska,Age (years),25 - 34,28.0,0,0.0
2015,AK,Alaska,Age (years),25 - 34,29.8,0,0.0
2016,AK,Alaska,Age (years),25 - 34,31.2,0,0.0
2017,AK,Alaska,Age (years),25 - 34,31.4,0,0.0
2018,AK,Alaska,Age (years),25 - 34,29.3,0,0.0
2019,AK,Alaska,Age (years),25 - 34,26.8,0,0.0
2020,AK,Alaska,Age (years),25 - 34,31.4,0,0.0
2021,AK,Alaska,Age (years),25 - 34,32.2,0,0.0
2022,AK,Alaska,Age (years),25 - 34,29.5,0,0.0
2023,AK,Alaska,Age (years),25 - 34,31.8,0,1.0
2024,AK,Alaska,Age (years),25 - 34,34.0,1,
2011,AK,Alaska,Age (years),35 - 44,29.5,0,0.0
2012,AK,Alaska,Age (years),35 - 44,30.3,0,0.0
2013,AK,Alaska,Age (years),35 - 44,33.5,0,1.0
2014,AK,Alaska,Age (years),35 - 44,33.6,1,
2015,AK,Alaska,Age (years),35 - 44,33.1,0,1.0
2016,AK,Alaska,Age (years),35 - 44,40.3,1,
2017,AK,Alaska,Age (years),35 - 44,41.5,1,
2018,AK,Alaska,Age (years),35 - 44,29.8,0,1.0
2019,AK,Alaska,Age (years),35 - 44,35.9,1,
2020,AK,Alaska,Age (years),35 - 44,32.4,0,0.0
2021,AK,Alaska,Age (years),35 - 44,33.3,0,1.0
2022,AK,Alaska,Age (years),35 - 44,36.0,1,
2023,AK,Alaska,Age (years),35 - 44,39.2,1,
2024,AK,Alaska,Age (years),35 - 44,36.9,1,
2011,AK,Alaska,Age (years),45 - 54,29.2,0,0.0
2012,AK,Alaska,Age (years),45 - 54,32.6,0,0.0
2013,AK,Alaska,Age (years),45 - 54,29.8,0,1.0
2014,AK,Alaska,Age (years),45 - 54,35.2,1,
2015,AK,Alaska,Age (years),45 - 54,30.8,0,1.0
2016,AK,Alaska,Age (years),45 - 54,35.0,1,
2017,AK,Alaska,Age (years),45 - 54,37.7,1,
2018,AK,Alaska,Age (years),45 - 54,34.2,1,
2019,AK,Alaska,Age (years),45 - 54,42.3,1,
2020,AK,Alaska,Age (years),45 - 54,38.2,1,
2021,AK,Alaska,Age (years),45 - 54,42.9,1,
2022,AK,Alaska,Age (years),45 - 54,41.8,1,
2023,AK,Alaska,Age (years),45 - 54,43.9,1,
2024,AK,Alaska,Age (years),45 - 54,39.9,1,
2011,AK,Alaska,Age (years),55 - 64,33.4,0,0.0
2012,AK,Alaska,Age (years),55 - 64,32.3,0,0.0
2013,AK,Alaska,Age (years),55 - 64,33.1,0,1.0
2014,AK,Alaska,Age (years),55 - 64,34.5,1,
2015,AK,Alaska,Age (years),55 - 64,30.6,0,0.0
2016,AK,Alaska,Age (years),55 - 64,30.0,0,1.0
2017,AK,Alaska,Age (years),55 - 64,36.2,1,
2018,AK,Alaska,Age (years),55 - 64,33.4,0,0.0
2019,AK,Alaska,Age (years),55 - 64,30.8,0,1.0
2020,AK,Alaska,Age (years),55 - 64,33.7,1,
2021,AK,Alaska,Age (years),55 - 64,34.4,1,
2022,AK,Alaska,Age (years),55 - 64,33.1,0,1.0
2023,AK,Alaska,Age (years),55 - 64,39.0,1,
2024,AK,Alaska,Age (years),55 - 64,40.2,1,
2011,AK,Alaska,Age (years),65 or older,29.3,0,0.0
2012,AK,Alaska,Age (years),65 or older,26.8,0,0.0
2013,AK,Alaska,Age (years),65 or older,30.4,0,0.0
2014,AK,Alaska,Age (years),65 or older,29.6,0,1.0
2015,AK,Alaska,Age (years),65 or older,34.7,1,
2016,AK,Alaska,Age (years),65 or older,35.3,1,
2017,AK,Alaska,Age (years),65 or older,34.8,1,
2018,AK,Alaska,Age (years),65 or older,27.2,0,0.0
2019,AK,Alaska,Age (years),65 or older,30.2,0,0.0
2020,AK,Alaska,Age (years),65 or older,32.7,0,0.0
2021,AK,Alaska,Age (years),65 or older,31.8,0,0.0
2022,AK,Alaska,Age (years),65 or older,28.0,0,0.0
2023,AK,Alaska,Age (years),65 or older,32.7,0,0.0
2024,AK,Alaska,Age (years),65 or older,30.8,0,
2011,AK,Alaska,Education,College graduate,22.1,0,0.0
2012,AK,Alaska,Education,College graduate,24.9,0,0.0
2013,AK,Alaska,Education,College graduate,21.2,0,0.0
2014,AK,Alaska,Education,College graduate,23.4,0,0.0
2015,AK,Alaska,Education,College graduate,26.7,0,0.0
2016,AK,Alaska,Education,College graduate,21.7,0,0.0
2017,AK,Alaska,Education,College graduate,30.7,0,0.0
